loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
TIMESTAMP,timestamp,site,logger,n,timestamp,genx,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,ardlog
RECORD,record,site,logger,n,record,genx,number,NA,loggernet record number,ardlog
BattV_Min,battv_min,site,logger,n,battv_min,genx,number,volts,default CR1000 battery voltage measurement,ardlog
PTemp_C,ptemp_c,site,logger,n,ptemp_c,genx,number,degrees Celsius,default CR1000 wiring panel temperature measurement,ardlog
Flag,flag,site,logger,n,flag,genx,number,NA,NA,ardlog
co2(1),co21,plot,a0,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(2),co22,plot,c1,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(3),co23,plot,b2,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(4),co24,plot,a3,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(5),co25,plot,c4,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(6),co26,plot,b4,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(7),co27,plot,a5,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(8),co28,plot,c6,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(9),co29,plot,b6,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(10),co210,plot,a7,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(11),co211,plot,c8,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2(12),co212,plot,b9,y,co2,genx,number,parts per million,carbon dioxide concentration,ardlog
co2ave1(1),co2ave11,plot,a0,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(2),co2ave12,plot,c1,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(3),co2ave13,plot,b2,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(4),co2ave14,plot,a3,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(5),co2ave15,plot,c4,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(6),co2ave16,plot,b4,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(7),co2ave17,plot,a5,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(8),co2ave18,plot,c6,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(9),co2ave19,plot,b6,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(10),co2ave110,plot,a7,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(11),co2ave111,plot,c8,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
co2ave1(12),co2ave112,plot,b9,y,co2ave1,genx,number,parts per million,1 minute average of carbon dioxide concentration,ardlog
BMETemp(1),bmetemp1,plot,a0,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(2),bmetemp2,plot,c1,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(3),bmetemp3,plot,b2,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(4),bmetemp4,plot,a3,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(5),bmetemp5,plot,c4,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(6),bmetemp6,plot,b4,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(7),bmetemp7,plot,a5,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(8),bmetemp8,plot,c6,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(9),bmetemp9,plot,b6,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(10),bmetemp10,plot,a7,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(11),bmetemp11,plot,c8,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMETemp(12),bmetemp12,plot,b9,y,bmetemp,genx,number,degrees Celsius,air temperature,ardlog
BMERH(1),bmerh1,plot,a0,y,bmerh,genx,number,%,relative humidity,ardlog
BMERH(2),bmerh2,plot,c1,y,bmerh,genx,number,%,relative humidity,ardlog
BMERH(3),bmerh3,plot,b2,y,bmerh,genx,number,%,relative humidity,ardlog
BMERH(4),bmerh4,plot,a3,y,bmerh,genx,number,%,relative humidity,ardlog
BMERH(5),bmerh5,plot,c4,y,bmerh,genx,number,%,relative humidity,ardlog
