Timestamp,Logger_ID,Well_Name,Probe_Name,Plot,Year,Temp,Specific_Conductivity,Salinity,Depth,Pressure_mbar,Pressurehead.m,Resistivity,Instrument,Density,WLfromsurface.m,Head.m,f_spc,f_sal,f_wl,Flag
2022-02-08T01:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T01:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T02:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T02:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T02:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T02:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T03:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T03:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T03:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T03:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T04:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T04:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T04:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T04:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T05:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T05:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T05:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T05:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T06:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T06:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T06:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T06:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T07:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T07:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T07:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T07:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T08:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T08:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T08:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T08:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T09:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T09:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T09:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T09:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T10:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T10:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T10:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T10:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T11:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T11:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T11:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T11:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T12:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T12:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T12:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T12:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T13:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T13:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T13:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T13:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T14:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T14:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T14:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T14:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T15:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T15:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T15:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T15:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T16:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T16:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T16:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T16:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T17:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T17:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T17:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T17:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T18:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T18:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T18:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T18:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T19:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T19:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T19:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T19:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T20:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T20:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T20:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T20:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T21:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T21:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T21:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T21:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T22:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T22:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T22:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T22:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T23:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T23:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T23:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-08T23:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T00:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T00:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T00:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T00:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T01:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T01:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T01:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T01:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T02:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T02:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T02:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T02:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T03:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T03:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T03:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T03:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T04:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T04:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T04:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T04:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T05:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T05:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T05:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T05:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T06:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T06:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T06:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T06:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T07:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T07:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T07:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T07:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T08:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T08:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T08:30:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T08:45:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T09:00:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
2022-02-09T09:15:00Z,PNNL_41,GW8,TEMPEST_L_200_GW8,Shoreline,2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TROLL200,NaN,NaN,NaN,NA,NA,NA,NA
